"ID"|"Apellido"|"Cal_Crediticia"|"Genero"|"Edad"|"Tiempo_Cliente"|"Saldo"|"Tarjeta"|"Miembro_Activo"|"Salario"|"Fuera_Del_Banco"|"RangoSaldo"
"15706552"|"Odinakachukwu"|"533,00"|"Masculino"|"31-40"|"7"|"85311,70"|"No"|"Sí"|"156731.91"|"No"|"50179.62 - 100359.24"
"15750181"|"Sanderson"|"553,00"|"Masculino"|"41-50"|"9"|"110112,54"|"No"|"No"|"81898.81"|"No"|"100359.24 - 150538.86"
"15659428"|"Maggard"|"520,00"|"Femenino"|"41-50"|"6"|",00"|"Sí"|"Sí"|"34410.55"|"No"|"0 - 50179.62"
"15732963"|"Clements"|"722,00"|"Femenino"|"21-30"|"9"|",00"|"Sí"|"Sí"|"142033.07"|"No"|"0 - 50179.62"
"15794171"|"Lombardo"|"475,00"|"Femenino"|"41-50"|"0"|"134264,04"|"Sí"|"No"|"27822.99"|"Sí"|"100359.24 - 150538.86"
"15788448"|"Watson"|"490,00"|"Masculino"|"31-40"|"3"|"145260,23"|"No"|"Sí"|"114066.77"|"No"|"100359.24 - 150538.86"
"15729599"|"Lorenzo"|"804,00"|"Masculino"|"31-40"|"7"|"76548,60"|"No"|"Sí"|"98453.45"|"No"|"50179.62 - 100359.24"
"15717426"|"Armstrong"|"850,00"|"Masculino"|"31-40"|"7"|",00"|"Sí"|"Sí"|"40812.9"|"No"|"0 - 50179.62"
"15585768"|"Cameron"|"582,00"|"Masculino"|"41-50"|"6"|"70349,48"|"No"|"Sí"|"178074.04"|"No"|"50179.62 - 100359.24"
"15619360"|"Hsiao"|"472,00"|"Masculino"|"31-40"|"4"|",00"|"Sí"|"No"|"70154.22"|"No"|"0 - 50179.62"
"15738148"|"Clarke"|"465,00"|"Femenino"|"51-60"|"8"|"122522,32"|"No"|"No"|"181297.65"|"Sí"|"100359.24 - 150538.86"
"15687946"|"Osborne"|"556,00"|"Femenino"|"61-70"|"2"|"117419,35"|"Sí"|"Sí"|"94153.83"|"No"|"100359.24 - 150538.86"
"15755196"|"Lavine"|"834,00"|"Femenino"|"41-50"|"2"|"131394,56"|"No"|"No"|"194365.76"|"Sí"|"100359.24 - 150538.86"
"15684171"|"Bianchi"|"660,00"|"Femenino"|"61-70"|"5"|"155931,11"|"Sí"|"Sí"|"158338.39"|"No"|"150538.86 - 200718.48"
"15754849"|"Tyler"|"776,00"|"Femenino"|"31-40"|"4"|"109421,13"|"Sí"|"Sí"|"126517.46"|"No"|"100359.24 - 150538.86"
"15602280"|"Martin"|"829,00"|"Femenino"|"21-30"|"9"|"112045,67"|"Sí"|"Sí"|"119708.21"|"Sí"|"100359.24 - 150538.86"
"15771573"|"Okagbue"|"637,00"|"Femenino"|"31-40"|"9"|"137843,80"|"Sí"|"Sí"|"117622.8"|"Sí"|"100359.24 - 150538.86"
"15766205"|"Yin"|"550,00"|"Masculino"|"31-40"|"2"|"103391,38"|"No"|"Sí"|"90878.13"|"No"|"100359.24 - 150538.86"
"15771873"|"Buccho"|"776,00"|"Femenino"|"31-40"|"2"|"103769,22"|"Sí"|"No"|"194099.12"|"No"|"100359.24 - 150538.86"
"15616550"|"Chidiebele"|"698,00"|"Masculino"|"41-50"|"10"|"116363,37"|"Sí"|"No"|"198059.16"|"No"|"100359.24 - 150538.86"
"15768193"|"Trevisani"|"585,00"|"Masculino"|"31-40"|"5"|"146050,97"|"No"|"No"|"86424.57"|"No"|"100359.24 - 150538.86"
"15683553"|"O'Brien"|"788,00"|"Femenino"|"31-40"|"5"|",00"|"No"|"No"|"116978.19"|"No"|"0 - 50179.62"
"15702298"|"Parkhill"|"655,00"|"Masculino"|"41-50"|"8"|"125561,97"|"No"|"No"|"164040.94"|"Sí"|"100359.24 - 150538.86"
"15569590"|"Yoo"|"601,00"|"Masculino"|"41-50"|"1"|"98495,72"|"Sí"|"No"|"40014.76"|"Sí"|"50179.62 - 100359.24"
"15760861"|"Phillipps"|"619,00"|"Masculino"|"41-50"|"1"|"125211,92"|"Sí"|"Sí"|"113410.49"|"No"|"100359.24 - 150538.86"
"15630053"|"Tsao"|"656,00"|"Masculino"|"41-50"|"5"|"127864,40"|"Sí"|"No"|"87107.57"|"No"|"100359.24 - 150538.86"
"15647091"|"Endrizzi"|"725,00"|"Masculino"|"11-20"|"0"|"75888,20"|"No"|"No"|"45613.75"|"No"|"50179.62 - 100359.24"
"15623944"|"T'ien"|"511,00"|"Femenino"|"61-70"|"4"|",00"|"Sí"|"No"|"1643.11"|"Sí"|"0 - 50179.62"
"15804771"|"Velazquez"|"614,00"|"Masculino"|"51-60"|"4"|"40685,92"|"Sí"|"Sí"|"46775.28"|"No"|"0 - 50179.62"
"15651280"|"Hunter"|"742,00"|"Masculino"|"31-40"|"5"|"136857,00"|"No"|"No"|"84509.57"|"No"|"100359.24 - 150538.86"
"15773469"|"Clark"|"687,00"|"Femenino"|"21-30"|"9"|"152328,88"|"No"|"No"|"126494.82"|"No"|"150538.86 - 200718.48"
"15702014"|"Jeffrey"|"555,00"|"Masculino"|"31-40"|"1"|"56084,69"|"No"|"No"|"178798.13"|"No"|"50179.62 - 100359.24"
"15751208"|"Pirozzi"|"684,00"|"Masculino"|"51-60"|"8"|"78707,16"|"Sí"|"Sí"|"99398.36"|"No"|"50179.62 - 100359.24"
"15592461"|"Jackson"|"603,00"|"Masculino"|"21-30"|"4"|"109166,37"|"Sí"|"Sí"|"92840.67"|"No"|"100359.24 - 150538.86"
"15789484"|"Hammond"|"751,00"|"Femenino"|"31-40"|"6"|"169831,46"|"Sí"|"Sí"|"27758.36"|"No"|"150538.86 - 200718.48"
"15696061"|"Brownless"|"581,00"|"Femenino"|"31-40"|"1"|"101633,04"|"Sí"|"No"|"110431.51"|"No"|"100359.24 - 150538.86"
"15641582"|"Chibugo"|"735,00"|"Masculino"|"41-50"|"10"|"123180,01"|"Sí"|"Sí"|"196673.28"|"No"|"100359.24 - 150538.86"
"15638424"|"Glauert"|"661,00"|"Femenino"|"31-40"|"5"|"150725,53"|"No"|"Sí"|"113656.85"|"No"|"150538.86 - 200718.48"
"15755648"|"Pisano"|"675,00"|"Femenino"|"21-30"|"8"|"98373,26"|"Sí"|"No"|"18203"|"No"|"50179.62 - 100359.24"
"15703793"|"Konovalova"|"738,00"|"Masculino"|"51-60"|"2"|"133745,44"|"Sí"|"No"|"28373.86"|"Sí"|"100359.24 - 150538.86"
"15620344"|"McKee"|"813,00"|"Masculino"|"21-30"|"6"|",00"|"Sí"|"No"|"33953.87"|"No"|"0 - 50179.62"
"15812518"|"Palermo"|"657,00"|"Femenino"|"31-40"|"0"|"163607,18"|"No"|"Sí"|"44203.55"|"No"|"150538.86 - 200718.48"
"15779052"|"Ballard"|"604,00"|"Femenino"|"21-30"|"5"|"157780,84"|"Sí"|"Sí"|"58426.81"|"No"|"150538.86 - 200718.48"
"15770811"|"Wallace"|"519,00"|"Masculino"|"31-40"|"9"|",00"|"No"|"Sí"|"145562.4"|"No"|"0 - 50179.62"
"15780961"|"Cavenagh"|"735,00"|"Femenino"|"21-30"|"1"|"178718,19"|"Sí"|"No"|"22388"|"No"|"150538.86 - 200718.48"
"15614049"|"Hu"|"664,00"|"Masculino"|"51-60"|"8"|",00"|"Sí"|"Sí"|"139161.64"|"No"|"0 - 50179.62"
"15662085"|"Read"|"678,00"|"Femenino"|"31-40"|"9"|",00"|"Sí"|"Sí"|"148210.64"|"No"|"0 - 50179.62"
"15575185"|"Bushell"|"757,00"|"Masculino"|"31-40"|"5"|"77253,22"|"No"|"Sí"|"194239.63"|"No"|"50179.62 - 100359.24"
"15803136"|"Postle"|"416,00"|"Femenino"|"41-50"|"10"|"122189,66"|"Sí"|"No"|"98301.61"|"No"|"100359.24 - 150538.86"
"15706021"|"Buley"|"665,00"|"Femenino"|"31-40"|"1"|"96645,54"|"No"|"No"|"171413.66"|"No"|"50179.62 - 100359.24"
"15663706"|"Leonard"|"777,00"|"Femenino"|"31-40"|"2"|",00"|"Sí"|"No"|"136458.19"|"Sí"|"0 - 50179.62"
"15641732"|"Mills"|"543,00"|"Femenino"|"31-40"|"3"|",00"|"No"|"No"|"26019.59"|"No"|"0 - 50179.62"
"15701164"|"Onyeorulu"|"506,00"|"Femenino"|"31-40"|"4"|"90307,62"|"Sí"|"Sí"|"159235.29"|"No"|"50179.62 - 100359.24"
"15738751"|"Beit"|"493,00"|"Femenino"|"41-50"|"4"|",00"|"Sí"|"No"|"1907.66"|"No"|"0 - 50179.62"
"15805254"|"Ndukaku"|"652,00"|"Femenino"|"71+"|"10"|",00"|"Sí"|"Sí"|"114675.75"|"No"|"0 - 50179.62"
"15762418"|"Gant"|"750,00"|"Masculino"|"21-30"|"3"|"121681,82"|"Sí"|"No"|"128643.35"|"Sí"|"100359.24 - 150538.86"
"15625759"|"Rowley"|"729,00"|"Masculino"|"21-30"|"9"|",00"|"Sí"|"No"|"151869.35"|"No"|"0 - 50179.62"
"15622897"|"Sharpe"|"646,00"|"Femenino"|"41-50"|"4"|",00"|"Sí"|"No"|"93251.42"|"Sí"|"0 - 50179.62"
"15767954"|"Osborne"|"635,00"|"Femenino"|"21-30"|"3"|"81623,67"|"Sí"|"Sí"|"156791.36"|"No"|"50179.62 - 100359.24"
"15757535"|"Heap"|"647,00"|"Femenino"|"41-50"|"5"|",00"|"Sí"|"Sí"|"174205.22"|"Sí"|"0 - 50179.62"
"15731511"|"Ritchie"|"808,00"|"Masculino"|"41-50"|"7"|"118626,55"|"Sí"|"No"|"147132.46"|"No"|"100359.24 - 150538.86"
"15809248"|"Cole"|"524,00"|"Femenino"|"31-40"|"10"|",00"|"Sí"|"No"|"109614.57"|"No"|"0 - 50179.62"
"15640635"|"Capon"|"769,00"|"Masculino"|"21-30"|"8"|",00"|"Sí"|"Sí"|"172290.61"|"No"|"0 - 50179.62"
"15676966"|"Capon"|"730,00"|"Masculino"|"41-50"|"4"|",00"|"No"|"Sí"|"85982.47"|"No"|"0 - 50179.62"
"15699461"|"Fiorentini"|"515,00"|"Masculino"|"31-40"|"10"|"176273,95"|"No"|"Sí"|"121277.78"|"No"|"150538.86 - 200718.48"
"15738721"|"Graham"|"773,00"|"Masculino"|"41-50"|"9"|"102827,44"|"No"|"Sí"|"64595.25"|"No"|"100359.24 - 150538.86"
"15693683"|"Yuille"|"814,00"|"Masculino"|"21-30"|"8"|"97086,40"|"Sí"|"Sí"|"197276.13"|"No"|"50179.62 - 100359.24"
"15604348"|"Allard"|"710,00"|"Masculino"|"21-30"|"8"|",00"|"No"|"No"|"99645.04"|"No"|"0 - 50179.62"
"15633059"|"Fanucci"|"413,00"|"Masculino"|"31-40"|"9"|",00"|"No"|"No"|"6534.18"|"No"|"0 - 50179.62"
"15808582"|"Fu"|"665,00"|"Femenino"|"31-40"|"6"|",00"|"Sí"|"Sí"|"161848.03"|"No"|"0 - 50179.62"
"15743192"|"Hung"|"623,00"|"Femenino"|"41-50"|"6"|",00"|"No"|"No"|"167162.43"|"No"|"0 - 50179.62"
"15580146"|"Hung"|"738,00"|"Masculino"|"31-40"|"9"|"82674,15"|"Sí"|"No"|"41970.72"|"No"|"50179.62 - 100359.24"
"15776605"|"Bradley"|"528,00"|"Masculino"|"31-40"|"7"|",00"|"Sí"|"No"|"60536.56"|"No"|"0 - 50179.62"
"15804919"|"Dunbabin"|"670,00"|"Femenino"|"61-70"|"1"|",00"|"Sí"|"Sí"|"177655.68"|"Sí"|"0 - 50179.62"
"15613854"|"Mauldon"|"622,00"|"Femenino"|"41-50"|"4"|"107073,27"|"Sí"|"Sí"|"30984.59"|"Sí"|"100359.24 - 150538.86"
"15599195"|"Stiger"|"582,00"|"Masculino"|"31-40"|"1"|"88938,62"|"Sí"|"Sí"|"10054.53"|"No"|"50179.62 - 100359.24"
"15812878"|"Parsons"|"785,00"|"Femenino"|"31-40"|"2"|"99806,85"|"No"|"Sí"|"36976.52"|"No"|"50179.62 - 100359.24"
"15602312"|"Walkom"|"605,00"|"Masculino"|"31-40"|"5"|"150092,80"|"No"|"No"|"71862.79"|"No"|"100359.24 - 150538.86"
"15744689"|"T'ang"|"479,00"|"Masculino"|"31-40"|"9"|"92833,89"|"Sí"|"No"|"99449.86"|"Sí"|"50179.62 - 100359.24"
"15803526"|"Eremenko"|"685,00"|"Masculino"|"21-30"|"3"|"90536,81"|"No"|"Sí"|"63082.88"|"No"|"50179.62 - 100359.24"
"15665790"|"Rowntree"|"538,00"|"Masculino"|"31-40"|"7"|"108055,10"|"Sí"|"No"|"27231.26"|"No"|"100359.24 - 150538.86"
"15715951"|"Thorpe"|"562,00"|"Masculino"|"41-50"|"2"|"100238,35"|"No"|"No"|"86797.41"|"No"|"50179.62 - 100359.24"
"15591100"|"Chiemela"|"675,00"|"Masculino"|"31-40"|"9"|"106190,55"|"No"|"Sí"|"22994.32"|"No"|"100359.24 - 150538.86"
"15609618"|"Fanucci"|"721,00"|"Masculino"|"21-30"|"9"|"154475,54"|"No"|"Sí"|"101300.94"|"Sí"|"150538.86 - 200718.48"
"15675522"|"Ko"|"628,00"|"Femenino"|"21-30"|"9"|"132351,29"|"Sí"|"Sí"|"74169.13"|"No"|"100359.24 - 150538.86"
"15705512"|"Welch"|"668,00"|"Femenino"|"31-40"|"6"|"167864,40"|"Sí"|"No"|"115638.29"|"No"|"150538.86 - 200718.48"
"15698028"|"Duncan"|"506,00"|"Femenino"|"41-50"|"1"|",00"|"Sí"|"No"|"31766.3"|"No"|"0 - 50179.62"
"15661670"|"Chidozie"|"524,00"|"Femenino"|"31-40"|"8"|"107818,63"|"Sí"|"No"|"199725.39"|"Sí"|"100359.24 - 150538.86"
"15600781"|"Wu"|"699,00"|"Masculino"|"31-40"|"4"|"185173,81"|"Sí"|"No"|"120834.48"|"No"|"150538.86 - 200718.48"
"15682472"|"Culbreth"|"828,00"|"Masculino"|"31-40"|"8"|"129433,34"|"No"|"No"|"38131.77"|"No"|"100359.24 - 150538.86"
"15580203"|"Kennedy"|"674,00"|"Masculino"|"31-40"|"6"|"120193,42"|"No"|"No"|"100130.95"|"No"|"100359.24 - 150538.86"
"15690673"|"Cameron"|"656,00"|"Femenino"|"31-40"|"6"|",00"|"Sí"|"No"|"141069.88"|"No"|"0 - 50179.62"
"15760085"|"Calabresi"|"684,00"|"Femenino"|"41-50"|"10"|"126384,42"|"Sí"|"Sí"|"198129.36"|"No"|"100359.24 - 150538.86"
"15779659"|"Zetticci"|"625,00"|"Femenino"|"21-30"|"3"|",00"|"No"|"No"|"183646.41"|"No"|"0 - 50179.62"
"15627360"|"Fuller"|"432,00"|"Masculino"|"41-50"|"9"|"152603,45"|"Sí"|"No"|"110265.24"|"Sí"|"150538.86 - 200718.48"
"15671137"|"MacDonald"|"549,00"|"Femenino"|"51-60"|"1"|",00"|"No"|"Sí"|"8636.05"|"Sí"|"0 - 50179.62"
"15782688"|"Piccio"|"625,00"|"Masculino"|"51-60"|"0"|"148507,24"|"Sí"|"No"|"46824.08"|"Sí"|"100359.24 - 150538.86"
"15575492"|"Kennedy"|"828,00"|"Femenino"|"41-50"|"7"|",00"|"Sí"|"No"|"171378.77"|"No"|"0 - 50179.62"
"15591607"|"Fernie"|"770,00"|"Masculino"|"21-30"|"9"|"101827,07"|"Sí"|"No"|"167256.35"|"No"|"100359.24 - 150538.86"
"15740404"|"He"|"758,00"|"Femenino"|"31-40"|"3"|",00"|"Sí"|"Sí"|"124226.16"|"No"|"0 - 50179.62"
"15718369"|"Kaodilinakachukwu"|"795,00"|"Femenino"|"31-40"|"9"|"130862,43"|"Sí"|"Sí"|"114935.21"|"No"|"100359.24 - 150538.86"
"15677871"|"Cocci"|"687,00"|"Masculino"|"31-40"|"9"|"122570,87"|"Sí"|"Sí"|"35608.88"|"No"|"100359.24 - 150538.86"
"15642004"|"Alekseeva"|"686,00"|"Masculino"|"21-30"|"1"|",00"|"No"|"Sí"|"16459.37"|"No"|"0 - 50179.62"
"15712543"|"Chinweike"|"789,00"|"Masculino"|"31-40"|"7"|"124828,46"|"Sí"|"Sí"|"124411.08"|"No"|"100359.24 - 150538.86"
"15584518"|"Arthur"|"589,00"|"Femenino"|"41-50"|"5"|"144895,05"|"Sí"|"Sí"|"34941.23"|"No"|"100359.24 - 150538.86"
"15802381"|"Li"|"461,00"|"Femenino"|"31-40"|"5"|"63663,93"|"No"|"Sí"|"167784.28"|"No"|"50179.62 - 100359.24"
"15610156"|"Ma"|"637,00"|"Masculino"|"31-40"|"2"|"133463,10"|"No"|"Sí"|"93165.34"|"No"|"100359.24 - 150538.86"
"15594408"|"Chia"|"584,00"|"Femenino"|"41-50"|"2"|"213146,20"|"Sí"|"No"|"75161.25"|"Sí"|"200718.48 - 250898.09"
"15640905"|"Vasin"|"579,00"|"Femenino"|"31-40"|"1"|"129490,36"|"No"|"Sí"|"8590.83"|"Sí"|"100359.24 - 150538.86"
"15698932"|"Groves"|"756,00"|"Masculino"|"41-50"|"10"|"137452,09"|"Sí"|"No"|"189543.9"|"No"|"100359.24 - 150538.86"
"15724944"|"Tien"|"663,00"|"Masculino"|"31-40"|"7"|",00"|"Sí"|"Sí"|"180427.24"|"No"|"0 - 50179.62"
"15628145"|"Forwood"|"682,00"|"Femenino"|"41-50"|"5"|"125851,93"|"Sí"|"Sí"|"193318.33"|"No"|"100359.24 - 150538.86"
"15713483"|"Greeves"|"793,00"|"Masculino"|"51-60"|"2"|",00"|"Sí"|"No"|"159123.82"|"Sí"|"0 - 50179.62"
"15612350"|"Taylor"|"691,00"|"Femenino"|"31-40"|"5"|"40915,55"|"Sí"|"No"|"126213.84"|"Sí"|"0 - 50179.62"
"15800703"|"Madukwe"|"485,00"|"Femenino"|"21-30"|"5"|"113157,22"|"Sí"|"Sí"|"54141.5"|"No"|"100359.24 - 150538.86"
"15705707"|"Bennelong"|"635,00"|"Femenino"|"21-30"|"8"|"138296,94"|"Sí"|"No"|"141075.51"|"No"|"100359.24 - 150538.86"
"15754105"|"Olisanugo"|"650,00"|"Masculino"|"31-40"|"5"|"106967,18"|"No"|"No"|"24495.03"|"No"|"100359.24 - 150538.86"
"15703264"|"Chukwufumnanya"|"735,00"|"Masculino"|"41-50"|"9"|"120681,63"|"Sí"|"No"|"74836.34"|"No"|"100359.24 - 150538.86"
"15794413"|"Harris"|"416,00"|"Masculino"|"31-40"|"0"|",00"|"No"|"Sí"|"878.87"|"No"|"0 - 50179.62"
"15650237"|"Morgan"|"754,00"|"Femenino"|"31-40"|"7"|",00"|"Sí"|"No"|"89520.75"|"No"|"0 - 50179.62"
"15759618"|"Alexeeva"|"535,00"|"Femenino"|"41-50"|"9"|",00"|"Sí"|"No"|"149892.79"|"Sí"|"0 - 50179.62"
"15811589"|"Metcalfe"|"716,00"|"Masculino"|"41-50"|"8"|",00"|"Sí"|"No"|"180800.42"|"No"|"0 - 50179.62"
"15689044"|"Humphries"|"539,00"|"Masculino"|"31-40"|"2"|"127609,59"|"Sí"|"No"|"98646.22"|"No"|"100359.24 - 150538.86"
"15709368"|"Milne"|"614,00"|"Femenino"|"41-50"|"6"|",00"|"Sí"|"Sí"|"109041.53"|"No"|"0 - 50179.62"
"15679145"|"Chou"|"706,00"|"Masculino"|"51-60"|"7"|",00"|"Sí"|"No"|"17941.16"|"Sí"|"0 - 50179.62"
"15655007"|"Li"|"758,00"|"Femenino"|"31-40"|"7"|",00"|"No"|"No"|"82996.47"|"No"|"0 - 50179.62"
"15623595"|"Clayton"|"586,00"|"Femenino"|"21-30"|"2"|",00"|"Sí"|"Sí"|"92067.35"|"No"|"0 - 50179.62"
"15589975"|"Maclean"|"646,00"|"Femenino"|"71+"|"6"|"97259,25"|"No"|"Sí"|"104719.66"|"No"|"50179.62 - 100359.24"
"15804017"|"Chigolum"|"631,00"|"Femenino"|"31-40"|"4"|"123246,70"|"No"|"No"|"112687.57"|"No"|"100359.24 - 150538.86"
"15692132"|"Wilkinson"|"717,00"|"Femenino"|"21-30"|"6"|"101060,25"|"No"|"Sí"|"84699.56"|"No"|"100359.24 - 150538.86"
"15641122"|"Wei"|"684,00"|"Masculino"|"21-30"|"2"|",00"|"Sí"|"No"|"83473.82"|"No"|"0 - 50179.62"
"15630910"|"Treacy"|"800,00"|"Femenino"|"41-50"|"7"|"108007,36"|"No"|"No"|"47125.11"|"No"|"100359.24 - 150538.86"
"15680772"|"Hu"|"721,00"|"Femenino"|"31-40"|"2"|",00"|"Sí"|"Sí"|"106977.8"|"No"|"0 - 50179.62"
"15658929"|"Taverner"|"683,00"|"Masculino"|"21-30"|"0"|"133702,89"|"Sí"|"No"|"55582.54"|"Sí"|"100359.24 - 150538.86"
"15585388"|"Sherman"|"660,00"|"Masculino"|"31-40"|"9"|"125189,75"|"Sí"|"Sí"|"139874.43"|"No"|"100359.24 - 150538.86"
"15724623"|"Taubman"|"704,00"|"Femenino"|"21-30"|"7"|"113034,22"|"Sí"|"No"|"162503.48"|"Sí"|"100359.24 - 150538.86"
"15588537"|"Robinson"|"615,00"|"Femenino"|"41-50"|"9"|"109013,23"|"Sí"|"No"|"196499.96"|"No"|"100359.24 - 150538.86"
"15574692"|"Pinto"|"667,00"|"Femenino"|"31-40"|"2"|",00"|"Sí"|"No"|"40721.24"|"Sí"|"0 - 50179.62"
"15611325"|"Wood"|"682,00"|"Masculino"|"21-30"|"9"|"57929,81"|"No"|"No"|"53134.3"|"No"|"50179.62 - 100359.24"
"15587562"|"Hawkins"|"484,00"|"Femenino"|"21-30"|"4"|"130114,39"|"Sí"|"No"|"164017.89"|"No"|"100359.24 - 150538.86"
"15613172"|"Sun"|"628,00"|"Masculino"|"21-30"|"5"|"95826,49"|"Sí"|"No"|"155996.96"|"No"|"50179.62 - 100359.24"
"15651022"|"Yost"|"480,00"|"Masculino"|"41-50"|"10"|"129608,57"|"Sí"|"No"|"5472.7"|"Sí"|"100359.24 - 150538.86"
"15586310"|"Ting"|"578,00"|"Masculino"|"21-30"|"4"|"169462,09"|"Sí"|"No"|"112187.11"|"No"|"150538.86 - 200718.48"
"15625524"|"Rowe"|"512,00"|"Masculino"|"31-40"|"5"|",00"|"Sí"|"Sí"|"146457.83"|"No"|"0 - 50179.62"
"15755209"|"Fu"|"484,00"|"Femenino"|"31-40"|"7"|"133868,21"|"Sí"|"Sí"|"27286.1"|"No"|"100359.24 - 150538.86"
"15645248"|"Ho"|"510,00"|"Femenino"|"21-30"|"0"|",00"|"Sí"|"Sí"|"130553.47"|"No"|"0 - 50179.62"
"15790355"|"Okechukwu"|"606,00"|"Masculino"|"31-40"|"5"|"190479,48"|"No"|"No"|"179351.89"|"No"|"150538.86 - 200718.48"
"15762615"|"Campbell"|"597,00"|"Femenino"|"31-40"|"8"|"101993,12"|"No"|"Sí"|"94774.12"|"No"|"100359.24 - 150538.86"
